,Assassin,Fighter,Mage,Marksman,Support,Tank
0,,아트록스,,,,아트록스
1,아리,,아리,,,
2,아칼리,,,,,
3,아크샨,,,아크샨,,
4,,,,,알리스타,알리스타
5,,,아무무,,,아무무
6,,,애니비아,,애니비아,
7,,,애니,,,
8,,,,아펠리오스,,
9,,,,애쉬,애쉬,
10,,,아우렐리온 솔,,,
11,,,아지르,아지르,,
12,,,바드,,바드,
13,,벨베스,,,,
14,,블리츠크랭크,,,,블리츠크랭크
15,,,브랜드,,,
16,,,,,브라움,브라움
17,,,,케이틀린,,
18,,카밀,,,,카밀
19,,,카시오페아,,,
20,,,초가스,,,초가스
21,,,,코르키,,
22,,다리우스,,,,다리우스
23,,다이애나,다이애나,,,
24,,,,드레이븐,,
25,,문도 박사,,,,문도 박사
26,에코,에코,,,,
27,,엘리스,엘리스,,,
28,이블린,,이블린,,,
29,,,이즈리얼,이즈리얼,,
30,,,피들스틱,,피들스틱,
31,피오라,피오라,,,,
32,피즈,피즈,,,,
33,,,갈리오,,,갈리오
34,,갱플랭크,,,,
35,,가렌,,,,가렌
36,,나르,,,,나르
37,,그라가스,그라가스,,,
38,,,,그레이브즈,,
39,그웬,그웬,,,,
40,,헤카림,,,,헤카림
41,,,하이머딩거,,하이머딩거,
42,,일라오이,,,,일라오이
43,이렐리아,이렐리아,,,,
44,,,아이번,,아이번,
45,,,잔나,,잔나,
46,,자르반 4세,,,,자르반 4세
47,잭스,잭스,,,,
48,,제이스,,제이스,,
49,,,진,진,,
50,,,,징크스,,
51,,,,카이사,,
52,,,,칼리스타,,
53,,,카르마,,카르마,
54,,,카서스,,,
55,카사딘,,카사딘,,,
56,카타리나,,카타리나,,,
57,,케일,,,케일,
58,케인,케인,,,,
59,,,케넨,케넨,,
60,카직스,,,,,
61,,,,킨드레드,,
62,,클레드,,,,클레드
63,,,코그모,코그모,,
64,,크산테,,,,크산테
65,르블랑,,르블랑,,,
66,리 신,리 신,,,,
67,,,,,레오나,레오나
68,,릴리아,릴리아,,,
69,,,리산드라,,,
70,,,,루시안,,
71,,,룰루,,룰루,
72,,,럭스,,럭스,
73,,말파이트,,,,말파이트
74,말자하,,말자하,,,
75,,,마오카이,,,마오카이
76,마스터 이,마스터 이,,,,
77,,,,,밀리오,
78,,,,미스 포츈,,
79,,오공,,,,오공
80,,모데카이저,,,,
81,,,모르가나,,모르가나,
82,나피리,,,,,
83,,,나미,,나미,
84,,나서스,,,,나서스
85,,,,,노틸러스,노틸러스
86,,,니코,,니코,
87,니달리,,니달리,,,
88,닐라,닐라,,,,
89,녹턴,녹턴,,,,
90,,누누와 윌럼프,,,,누누와 윌럼프
91,,올라프,,,,올라프
92,,,오리아나,,오리아나,
93,,오른,,,,오른
94,판테온,판테온,,,,
95,,뽀삐,,,,뽀삐
96,파이크,,,,파이크,
97,키아나,키아나,,,,
98,퀸,,,퀸,,
99,,,,,라칸,
100,,람머스,,,,람머스
101,,렉사이,,,,
102,,,,,렐,렐
103,,,레나타 글라스크,,레나타 글라스크,
104,,레넥톤,,,,레넥톤
105,렝가,렝가,,,,
106,리븐,리븐,,,,
107,,럼블,럼블,,,
108,,라이즈,라이즈,,,
109,,,,사미라,,
110,,세주아니,,,,세주아니
111,,,,세나,세나,
112,,,세라핀,,세라핀,
113,,세트,,,,세트
114,샤코,,,,,
115,,,,,,쉔
116,,쉬바나,,,,쉬바나
117,,신지드,,,,신지드
118,,사이온,,,,사이온
119,,,,시비르,,
120,,스카너,,,,스카너
121,,,소나,,소나,
122,,,소라카,,소라카,
123,,스웨인,스웨인,,,
124,사일러스,,사일러스,,,
125,,,신드라,,,
126,,,,,탐 켄치,탐 켄치
127,,,탈리야,,탈리야,
128,탈론,,,,,
129,,타릭,,,타릭,
130,티모,,,티모,,
131,,쓰레쉬,,,쓰레쉬,
132,트리스타나,,,트리스타나,,
133,,트런들,,,,트런들
134,트린다미어,트린다미어,,,,
135,,,트위스티드 페이트,,,
136,트위치,,,트위치,,
137,,우디르,,,,우디르
138,,우르곳,,,,우르곳
139,,,바루스,바루스,,
140,베인,,,베인,,
141,,,베이가,,,
142,,,벨코즈,,,
143,,,벡스,,,
144,바이,바이,,,,
145,비에고,비에고,,,,
146,,,빅토르,,,
147,,,블라디미르,,,
148,,볼리베어,,,,볼리베어
149,,워윅,,,,워윅
150,,,,자야,,
151,,,제라스,,,
152,신 짜오,신 짜오,,,,
153,야스오,야스오,,,,
154,요네,요네,,,,
155,,요릭,,,,요릭
156,,,유미,,유미,
157,,자크,,,,자크
158,제드,,,,,
159,,,,제리,,
160,,,직스,,,
161,,,질리언,,질리언,
162,,,조이,,조이,
163,,,자이라,,자이라,
