,Assassin,Fighter,Mage,Marksman,Support,Tank
0,Ahri,Aatrox,Ahri,Akshan,Alistar,Aatrox
1,Akali,Belveth,Amumu,Aphelios,Anivia,Alistar
2,Akshan,Blitzcrank,Anivia,Ashe,Ashe,Amumu
3,Ekko,Camille,Annie,Azir,Bard,Blitzcrank
4,Evelynn,Darius,AurelionSol,Caitlyn,Braum,Braum
5,Fiora,Diana,Azir,Corki,Fiddlesticks,Camille
6,Fizz,DrMundo,Bard,Draven,Heimerdinger,Chogath
7,Gwen,Ekko,Brand,Ezreal,Ivern,Darius
8,Irelia,Elise,Cassiopeia,Graves,Janna,DrMundo
9,Jax,Fiora,Chogath,Jayce,Karma,Galio
10,Kassadin,Fizz,Diana,Jhin,Kayle,Garen
11,Katarina,Gangplank,Elise,Jinx,Leona,Gnar
12,Kayn,Garen,Evelynn,Kaisa,Lulu,Hecarim
13,Khazix,Gnar,Ezreal,Kalista,Lux,Illaoi
14,Leblanc,Gragas,Fiddlesticks,Kennen,Milio,JarvanIV
15,LeeSin,Gwen,Galio,Kindred,Morgana,Kled
16,Malzahar,Hecarim,Gragas,KogMaw,Nami,KSante
17,MasterYi,Illaoi,Heimerdinger,Lucian,Nautilus,Leona
18,Naafiri,Irelia,Ivern,MissFortune,Neeko,Malphite
19,Nidalee,JarvanIV,Janna,Quinn,Orianna,Maokai
20,Nilah,Jax,Jhin,Samira,Pyke,MonkeyKing
21,Nocturne,Jayce,Karma,Senna,Rakan,Nasus
22,Pantheon,Kayle,Karthus,Sivir,Rell,Nautilus
23,Pyke,Kayn,Kassadin,Teemo,Renata,Nunu
24,Qiyana,Kled,Katarina,Tristana,Senna,Olaf
25,Quinn,KSante,Kennen,Twitch,Seraphine,Ornn
26,Rengar,LeeSin,KogMaw,Varus,Sona,Poppy
27,Riven,Lillia,Leblanc,Vayne,Soraka,Rammus
28,Shaco,Malphite,Lillia,Xayah,TahmKench,Rell
29,Sylas,MasterYi,Lissandra,Zeri,Taliyah,Renekton
30,Talon,MonkeyKing,Lulu,,Taric,Sejuani
31,Teemo,Mordekaiser,Lux,,Thresh,Sett
32,Tristana,Nasus,Malzahar,,Yuumi,Shen
33,Tryndamere,Nilah,Maokai,,Zilean,Shyvana
34,Twitch,Nocturne,Morgana,,Zoe,Singed
35,Vayne,Nunu,Nami,,Zyra,Sion
36,Vi,Olaf,Neeko,,,Skarner
37,Viego,Ornn,Nidalee,,,TahmKench
38,XinZhao,Pantheon,Orianna,,,Trundle
39,Yasuo,Poppy,Renata,,,Udyr
40,Yone,Qiyana,Rumble,,,Urgot
41,Zed,Rammus,Ryze,,,Volibear
42,,RekSai,Seraphine,,,Warwick
43,,Renekton,Sona,,,Yorick
44,,Rengar,Soraka,,,Zac
45,,Riven,Swain,,,
46,,Rumble,Sylas,,,
47,,Ryze,Syndra,,,
48,,Sejuani,Taliyah,,,
49,,Sett,TwistedFate,,,
50,,Shyvana,Varus,,,
51,,Singed,Veigar,,,
52,,Sion,Velkoz,,,
53,,Skarner,Vex,,,
54,,Swain,Viktor,,,
55,,Taric,Vladimir,,,
56,,Thresh,Xerath,,,
57,,Trundle,Yuumi,,,
58,,Tryndamere,Ziggs,,,
59,,Udyr,Zilean,,,
60,,Urgot,Zoe,,,
61,,Vi,Zyra,,,
62,,Viego,,,,
63,,Volibear,,,,
64,,Warwick,,,,
65,,XinZhao,,,,
66,,Yasuo,,,,
67,,Yone,,,,
68,,Yorick,,,,
69,,Zac,,,,
